Model,C_index,C_index_IPCW,IBS,AUC@15,Calibration,Accuracy,AUC,F1,NRI_Events,NRI_Non_Events,NRI_Total,Method,Model_Type
Logistic Regression,,,,0.8273278335724534,0.8320695733967449,0.7533333333333333,0.8273278335724534,0.7201210287443267,,,,zero,Classification
Random Forest,,,,0.7919431492109039,0.8148246,0.724,0.7919431492109039,0.6849315068493151,,,,zero,Classification
SVM (RBF),,,,0.8003228120516499,0.8242170185183951,0.744,0.8003228120516499,0.6962025316455697,,,,zero,Classification
KNN,,,,0.8078138450502153,0.8235626666666667,0.734,0.8078138450502153,0.6923670007710101,,,,zero,Classification
Logistic Regression,,,,0.8273278335724534,0.8320695733967449,0.7533333333333333,0.8273278335724534,0.7201210287443267,0.0,0.0,0.0,discard,Classification
Random Forest,,,,0.7919431492109039,0.8148246,0.724,0.7919431492109039,0.6849315068493151,0.0,0.0,0.0,discard,Classification
SVM (RBF),,,,0.8003228120516499,0.8242170185183951,0.744,0.8003228120516499,0.6962025316455697,0.0,0.0,0.0,discard,Classification
KNN,,,,0.8078138450502153,0.8235626666666667,0.734,0.8078138450502153,0.6923670007710101,0.0,0.0,0.0,discard,Classification
Logistic Regression,,,,0.8263585304031327,0.8319347612228123,0.7466666666666667,0.8263585304031327,0.71342383107089,-0.0029455081001472753,-0.008526187576126675,-0.01147169567627395,ipcw,Classification
Random Forest,,,,0.7940745418048681,0.8154763333333334,0.7273333333333334,0.7940745418048681,0.6861089792785878,-0.0029455081001472753,0.0097442143727162,0.006798706272568924,ipcw,Classification
SVM (RBF),,,,0.8075697046778327,0.826024055875291,0.746,0.8075697046778327,0.7021110242376857,0.011782032400589101,-0.0060901339829476245,0.005691898417641477,ipcw,Classification
KNN,,,,0.8084406207452028,0.8233866666666667,0.736,0.8084406207452028,0.695852534562212,0.007363770250368188,-0.001218026796589525,0.0061457434537786635,ipcw,Classification
